brand,category,Size,Sleeve,Bust,Letter Size,Numeric Size,Waist,Hips,Length,Inseam,Height
Lands' End Size Charts,Plus Dresses - X Sizes,M,31¼ - 31½,37 - 38½,,,30½ - 33,40 - 41½,,,
Lands' End Size Charts,Plus Dresses - X Sizes,L,32 - 32¼,40 - 42,,,33½ - 36½,43 - 44½,,,
Lands' End Size Charts,Plus Dresses - X Sizes,XL,32¾,44,,,37 - 38½,46½,,,
Lands' End Size Charts,Jackets - Numeric Sizes,00,29,31,,,24½ - 25½,34,,,
Lands' End Size Charts,Jackets - Numeric Sizes,0,29¼,32,,,25½ - 26½,35,,,
Lands' End Size Charts,Jackets - Numeric Sizes,2,29¾,33,,,26½ - 27½,36,,,
Lands' End Size Charts,Jackets - Numeric Sizes,4,30,34,,,27½ - 28½,37,,,
Lands' End Size Charts,Jackets - Numeric Sizes,6,30½,35,,,28½ - 29½,38,,,
Lands' End Size Charts,Jackets - Numeric Sizes,8,30¾,36,,,29½ - 30½,39,,,
Lands' End Size Charts,Jackets - Numeric Sizes,10,31¼,37,,,30½ - 31½,40,,,
Lands' End Size Charts,Jackets - Numeric Sizes,12,31½,38½,,,32 - 33,41 - 5,,,
Lands' End Size Charts,Jackets - Numeric Sizes,14,32,40,,,33½ - 34½,43,,,
Lands' End Size Charts,Jackets - Numeric Sizes,16,32¼,42,,,35 - 36½,44½,,,
Lands' End Size Charts,Jackets - Numeric Sizes,18,32¾,44,,,37 - 38½,46½,,,
Lands' End Size Charts,Jackets - Alpha Sizes,00,27¾,31,,,24½ - 25½,34,,,
Lands' End Size Charts,Jackets - Alpha Sizes,0,28,32,,,25½ - 26½,35,,,
Lands' End Size Charts,Jackets - Alpha Sizes,2,28½,33,,,26½ - 27½,36,,,
Lands' End Size Charts,Jackets - Alpha Sizes,4,28¾,34,,,27½ - 28½,37,,,
Lands' End Size Charts,Jackets - Alpha Sizes,6,29¼,35,,,28½ - 29½,38,,,
Lands' End Size Charts,Jackets - Alpha Sizes,8,29½,36,,,29½ - 30½,39,,,
Lands' End Size Charts,Jackets - Alpha Sizes,10,30,37,,,30½ - 31½,40,,,
Lands' End Size Charts,Jackets - Alpha Sizes,12,30¼,38½,,,32 - 33,41 - 5,,,
Lands' End Size Charts,Jackets - Alpha Sizes,14,30¾,40,,,33½ - 34½,43,,,
Lands' End Size Charts,Jackets - Alpha Sizes,16,31,42,,,35 - 36½,44½,,,
Lands' End Size Charts,Jackets - Alpha Sizes,18,31½,44,,,37 - 38½,46½,,,
Lands' End Size Charts,Tall Jackets - Alpha Sizes,6,31½,35,,,28½ - 29½,38,,,
Lands' End Size Charts,Tall Jackets - Alpha Sizes,8,31¾,36,,,29½ - 30½,39,,,
Lands' End Size Charts,Tall Jackets - Alpha Sizes,10,32¼,37,,,30½ - 31½,40,,,
Lands' End Size Charts,Tall Jackets - Alpha Sizes,12,32½,38½,,,32 - 33,41 - 5,,,
Lands' End Size Charts,Tall Jackets - Alpha Sizes,14,33,40,,,33½ - 34½,43,,,
Lands' End Size Charts,Tall Jackets - Alpha Sizes,16,33¼,42,,,35 - 36½,44½,,,
Lands' End Size Charts,Tall Jackets - Alpha Sizes,18,33¾,44,,,37 - 38½,46½,,,
Lands' End Size Charts,Petite Jackets - Alpha Sizes,14,31½,42½,,,36½ - 37½,44½,,,
Lands' End Size Charts,Petite Jackets - Alpha Sizes,16,31¾,44,,,38 - 39,46,,,
Lands' End Size Charts,Petite Jackets - Alpha Sizes,18,32¼,46,,,40 - 41,48,,,
Lands' End Size Charts,Petite Jackets - Alpha Sizes,20,32½,48,,,42 - 43,50,,,
Lands' End Size Charts,Petite Jackets - Alpha Sizes,22,33,50,,,44045,52,,,
Lands' End Size Charts,Petite Jackets - Alpha Sizes,24,33¼,52,,,46 - 47,54,,,
Lands' End Size Charts,Petite Jackets - Alpha Sizes,26,33½,54,,,48 - 49,56,,,
Lands' End Size Charts,Petite Jackets - Numeric Sizes,0X,30,42½,,,36½ - 37½,44½,,,
Lands' End Size Charts,Petite Jackets - Numeric Sizes,1X,30¼ - 30¾,44 - 46,,,38 - 41,46 - 48,,,
Lands' End Size Charts,Petite Jackets - Numeric Sizes,2X,31 - 31½,48 - 50,,,42 - 45,50 - 52,,,
Lands' End Size Charts,Petite Jackets - Numeric Sizes,3X,31¾ - 32,52 - 54,,,46 - 49,54 - 56,,,
Lands' End Size Charts,Tall Jackets - Numeric Sizes,00,29,31,,,24½ - 25½,34,,,
Lands' End Size Charts,Tall Jackets - Numeric Sizes,0,29¼,32,,,25½ - 26½,35,,,
Lands' End Size Charts,Tall Jackets - Numeric Sizes,2,29¾,33,,,26½ - 27½,36,,,
Lands' End Size Charts,Tall Jackets - Numeric Sizes,4,30,34,,,27½ - 28½,37,,,
Lands' End Size Charts,Tall Jackets - Numeric Sizes,6,30½,35,,,28½ - 29½,38,,,
Lands' End Size Charts,Tall Jackets - Numeric Sizes,8,30¾,36,,,29½ - 30½,39,,,
Lands' End Size Charts,Tall Jackets - Numeric Sizes,10,31¼,37,,,30½ - 31½,40,,,
Lands' End Size Charts,Tall Jackets - Numeric Sizes,12,31½,38½,,,32 - 33,41 - 5,,,
Lands' End Size Charts,Tall Jackets - Numeric Sizes,14,32,40,,,33½ - 34½,43,,,
Lands' End Size Charts,Tall Jackets - Numeric Sizes,16,32¼,42,,,35 - 36½,44½,,,
Lands' End Size Charts,Tall Jackets - Numeric Sizes,18,32¾,44,,,37 - 38½,46½,,,
Lands' End Size Charts,Plus Jackets - Numeric Sizes,XXS,29 - 29¼,31 - 32,,,24½ - 26½,34 - 35,,,
Lands' End Size Charts,Plus Jackets - Numeric Sizes,XS,29¾ - 30,33 - 34,,,26½ - 28½,36 - 37,,,
Lands' End Size Charts,Plus Jackets - Numeric Sizes,S,30½ - 30¾,35 - 36,,,28½ - 30½,38 - 39,,,
Lands' End Size Charts,Plus Jackets - Numeric Sizes,M,31¼ - 31½,37 - 38½,,,30½ - 33,40 - 41½,,,
Lands' End Size Charts,Plus Jackets - Numeric Sizes,L,32 - 32¼,40 - 42,,,33½ - 36½,43 - 44½,,,
Lands' End Size Charts,Plus Jackets - Numeric Sizes,XL,32¾,44,,,37 - 38½,46½,,,
Lands' End Size Charts,Plus Jackets - X Sizes,S,31½ - 31¾,35 - 36,,,28½ - 30½,38 - 39,,,
Lands' End Size Charts,Plus Jackets - X Sizes,M,32¼ - 32½,37 - 38½,,,30½ - 33,40 - 41½,,,
Lands' End Size Charts,Plus Jackets - X Sizes,L,33 - 33¼,40 - 42,,,33½ - 36½,43 - 44½,,,
Lands' End Size Charts,Plus Jackets - X Sizes,XL,33¾,44,,,37 - 38½,46½,,,
Lands' End Size Charts,Category 30,S,29¼ - 29½,35 - 36,,,28½ - 30½,38 - 39,,,
Lands' End Size Charts,Category 30,M,30 - 30¼,37 - 38½,,,30½ - 33,40 - 41½,,,
Lands' End Size Charts,Category 30,L,30¾ - 31,40 - 42,,,33½ - 36½,43 - 44½,,,
Lands' End Size Charts,Category 30,XL,31½,44,,,37 - 38½,46½,,,
Lands' End Size Charts,Category 31,00,27¾,31,,,24½ - 25½,34,,,
Lands' End Size Charts,Category 31,0,28,32,,,25½ - 26½,35,,,
Lands' End Size Charts,Category 31,2,28½,33,,,26½ - 27½,36,,,
Lands' End Size Charts,Category 31,4,28¾,34,,,27½ - 28½,37,,,
Lands' End Size Charts,Category 31,6,29¼,35,,,28½ - 29½,38,,,
Lands' End Size Charts,Category 31,8,29½,36,,,29½ - 30½,39,,,
Lands' End Size Charts,Category 31,10,30,37,,,30½ - 31½,40,,,
Lands' End Size Charts,Category 31,12,30¼,38½,,,32 - 33,41 - 5,,,
Lands' End Size Charts,Category 31,14,30¾,40,,,33½ - 34½,43,,,
Lands' End Size Charts,Category 31,16,31,42,,,35 - 36½,44½,,,
Lands' End Size Charts,Category 31,18,31½,44,,,37 - 38½,46½,,,
Lands' End Size Charts,Category 32,6,31½,35,,,28½ - 29½,38,,,
Lands' End Size Charts,Category 32,8,31¾,36,,,29½ - 30½,39,,,
Lands' End Size Charts,Category 32,10,32¼,37,,,30½ - 31½,40,,,
Lands' End Size Charts,Category 32,12,32½,38½,,,32 - 33,41 - 5,,,
Lands' End Size Charts,Category 32,14,33,40,,,33½ - 34½,43,,,
Lands' End Size Charts,Category 32,16,33¼,42,,,35 - 36½,44½,,,
Lands' End Size Charts,Category 32,18,33¾,44,,,37 - 38½,46½,,,
Lands' End Size Charts,Category 33,14,30,42½,,,36½ - 37½,44½,,,
Lands' End Size Charts,Category 33,16,30¼,44,,,38 - 39,46,,,
Lands' End Size Charts,Category 33,18,30¾,46,,,40 - 41,48,,,
Lands' End Size Charts,Category 33,20,31,48,,,42 - 43,50,,,
Lands' End Size Charts,Category 33,22,31½,50,,,44045,52,,,
Lands' End Size Charts,Category 33,24,31¾,52,,,46 - 47,54,,,
Lands' End Size Charts,Category 33,26,32,54,,,48 - 49,56,,,
Lands' End Size Charts,Category 34,0X,30,42½,,,36½ - 37½,44½,,,
Lands' End Size Charts,Category 34,1X,30¼ - 30¾,44 - 46,,,38 - 41,46 - 48,,,
Lands' End Size Charts,Category 34,2X,31 - 31½,48 - 50,,,42 - 45,50 - 52,,,
Lands' End Size Charts,Category 34,3X,31¾ - 32,52 - 54,,,46 - 49,54 - 56,,,
Express Size Charts,Tops - Numeric Sizes,00,,30½,,,,,,,
Express Size Charts,Tops - Numeric Sizes,0,,31½,,,,,,,
Express Size Charts,Tops - Numeric Sizes,2,,32½,,,,,,,
Express Size Charts,Tops - Numeric Sizes,4,,33½,,,,,,,
Express Size Charts,Tops - Numeric Sizes,6,,34½,,,,,,,
Express Size Charts,Tops - Numeric Sizes,8,,35½,,,,,,,
Express Size Charts,Tops - Numeric Sizes,10,,37,,,,,,,
Express Size Charts,Tops - Numeric Sizes,12,,38½,,,,,,,
Express Size Charts,Tops - Numeric Sizes,14,,40,,,,,,,
Express Size Charts,Tops - Numeric Sizes,16,,41½,,,,,,,
Express Size Charts,Tops - Numeric Sizes,18,,43,,,,,,,
Express Size Charts,Tops - Alpha Sizes,XXS,,30½,,,,,,,
Express Size Charts,Tops - Alpha Sizes,XS,,31½ - 32½,,,,,,,
Express Size Charts,Tops - Alpha Sizes,S,,33½ - 34½,,,,,,,
Express Size Charts,Tops - Alpha Sizes,M,,35½ - 37,,,,,,,
Express Size Charts,Tops - Alpha Sizes,L,,38½ - 40,,,,,,,
Express Size Charts,Tops - Alpha Sizes,XL,,41½ - 43,,,,,,,
Express Size Charts,Bottoms - Numeric Size,00,,,,,23,34,,,
Express Size Charts,Bottoms - Numeric Size,0,,,,,24,35,,,
Express Size Charts,Bottoms - Numeric Size,2,,,,,25,36,,,
Express Size Charts,Bottoms - Numeric Size,4,,,,,26,37,,,
Express Size Charts,Bottoms - Numeric Size,6,,,,,27,38,,,
Express Size Charts,Bottoms - Numeric Size,8,,,,,28,39,,,
Express Size Charts,Bottoms - Numeric Size,10,,,,,29½,40½,,,
Express Size Charts,Bottoms - Numeric Size,12,,,,,31,42,,,
Express Size Charts,Bottoms - Numeric Size,14,,,,,32½,43½,,,
Express Size Charts,Bottoms - Numeric Size,16,,,,,34,45,,,
Express Size Charts,Bottoms - Numeric Size,18,,,,,35½,46½,,,
Express Size Charts,Bottoms - Alphabetic Sizes,,,,,,,,Inseam,33,
Express Size Charts,Short Bottoms - Numeric Sizes,XXS,,,,,23,34,,,
Express Size Charts,Short Bottoms - Numeric Sizes,XS,,,,,24 - 25,35 - 36,,,
Express Size Charts,Short Bottoms - Numeric Sizes,S,,,,,26 - 27,37 - 38,,,
Express Size Charts,Short Bottoms - Numeric Sizes,M,,,,,28 - 29½,39 - 40½,,,
Express Size Charts,Short Bottoms - Numeric Sizes,L,,,,,31 - 32½,42 - 43½,,,
Express Size Charts,Short Bottoms - Numeric Sizes,XL,,,,,34 - 35½,45 - 46½,,,
Express Size Charts,Tall Bottoms - Numeric Sizes -  Long,,,,,,,,Regular,33,
Express Size Charts,Category 7,00,,,,,23,34,,,
Express Size Charts,Category 7,0,,,,,24,35,,,
Express Size Charts,Category 7,2,,,,,25,36,,,
Express Size Charts,Category 7,4,,,,,26,37,,,
Express Size Charts,Category 7,6,,,,,27,38,,,
Express Size Charts,Category 7,8,,,,,28,39,,,
Express Size Charts,Category 7,10,,,,,29½,40½,,,
Express Size Charts,Category 7,12,,,,,31,42,,,
Express Size Charts,Category 7,14,,,,,32½,43½,,,
Express Size Charts,Category 7,16,,,,,34,45,,,
Express Size Charts,Category 7,18,,,,,35½,46½,,,
Express Size Charts,Category 8,,,,,,,,Inseam,30,
Express Size Charts,Category 9,00,,,,,23,34,,,
Express Size Charts,Category 9,0,,,,,24,35,,,
Express Size Charts,Category 9,2,,,,,25,36,,,
Express Size Charts,Category 9,4,,,,,26,37,,,
Express Size Charts,Category 9,6,,,,,27,38,,,
Express Size Charts,Category 9,8,,,,,28,39,,,
Express Size Charts,Category 9,10,,,,,29½,40½,,,
Express Size Charts,Category 9,12,,,,,31,42,,,
Express Size Charts,Category 9,14,,,,,32½,43½,,,
Express Size Charts,Category 9,16,,,,,34,45,,,
Express Size Charts,Category 9,18,,,,,35½,46½,,,
Express Size Charts,Category 10,,,,,,,,Inseam,34 - 35,
Ashley Stewart Size Charts,Plus Tops - Numeric Sizes,12,,40,,,,41½,,,
Ashley Stewart Size Charts,Plus Tops - Numeric Sizes,14,,41½,,,,44,,,
Ashley Stewart Size Charts,Plus Tops - Numeric Sizes,16,,43½,,,,46,,,
Ashley Stewart Size Charts,Plus Tops - Numeric Sizes,18,,45½,,,,48,,,
Ashley Stewart Size Charts,Plus Tops - Numeric Sizes,20,,47½,,,,50,,,
Ashley Stewart Size Charts,Plus Tops - Numeric Sizes,22,,49½,,,,52,,,
Ashley Stewart Size Charts,Plus Tops - Numeric Sizes,24,,51½,,,,54,,,
Ashley Stewart Size Charts,Plus Tops - Numeric Sizes,26,,53½,,,,58,,,
Ashley Stewart Size Charts,Plus Tops - Numeric Sizes,28,,55½,,,,58,,,
Ashley Stewart Size Charts,Plus Tops - Numeric Sizes,30,,57½,,,,60,,,
Ashley Stewart Size Charts,Plus Tops - Numeric Sizes,32,,57½,,,,62,,,
Ashley Stewart Size Charts,Plus Tops - X Sizes,1X,,41½ - 43½,,,,44 - 46,,,
Ashley Stewart Size Charts,Plus Tops - X Sizes,XL,,40,,,,41½,,,
Ashley Stewart Size Charts,Plus Tops - X Sizes,2X,,45½ - 47½,,,,48 - 50,,,
Ashley Stewart Size Charts,Plus Tops - X Sizes,3X,,49½ - 51½,,,,52 - 54,,,
Ashley Stewart Size Charts,Plus Tops - X Sizes,4X,,53½ - 55½,,,,58,,,
Ashley Stewart Size Charts,Plus Tops - X Sizes,5X,,57½,,,,60 - 62,,,
Ashley Stewart Size Charts,Plus Bottoms - Numeric Sizes,12,,,,,31½,41½,,,
Ashley Stewart Size Charts,Plus Bottoms - Numeric Sizes,14,,,,,33,44,,,
Ashley Stewart Size Charts,Plus Bottoms - Numeric Sizes,16,,,,,35,46,,,
Ashley Stewart Size Charts,Plus Bottoms - Numeric Sizes,18,,,,,37,48,,,
Ashley Stewart Size Charts,Plus Bottoms - Numeric Sizes,20,,,,,39,50,,,
Ashley Stewart Size Charts,Plus Bottoms - Numeric Sizes,22,,,,,41,52,,,
Ashley Stewart Size Charts,Plus Bottoms - Numeric Sizes,24,,,,,43,54,,,
Ashley Stewart Size Charts,Plus Bottoms - Numeric Sizes,26,,,,,47,58,,,
Ashley Stewart Size Charts,Plus Bottoms - Numeric Sizes,28,,,,,47,58,,,
Ashley Stewart Size Charts,Plus Bottoms - Numeric Sizes,30,,,,,49,60,,,
Ashley Stewart Size Charts,Plus Bottoms - Numeric Sizes,32,,,,,51,62,,,
Ashley Stewart Size Charts,"Plus, Petite Bottoms - Numeric Sizes",,,,,,,,Average,32½,
Ashley Stewart Size Charts,"Plus, Tall Bottoms - Numeric Sizes",12,,,,,31½,41½,,,
Ashley Stewart Size Charts,"Plus, Tall Bottoms - Numeric Sizes",14,,,,,33,44,,,
Ashley Stewart Size Charts,"Plus, Tall Bottoms - Numeric Sizes",16,,,,,35,46,,,
Ashley Stewart Size Charts,"Plus, Tall Bottoms - Numeric Sizes",18,,,,,37,48,,,
Ashley Stewart Size Charts,"Plus, Tall Bottoms - Numeric Sizes",20,,,,,39,50,,,
Ashley Stewart Size Charts,"Plus, Tall Bottoms - Numeric Sizes",22,,,,,41,52,,,
Ashley Stewart Size Charts,"Plus, Tall Bottoms - Numeric Sizes",24,,,,,43,54,,,
Ashley Stewart Size Charts,"Plus, Tall Bottoms - Numeric Sizes",26,,,,,47,58,,,
Ashley Stewart Size Charts,"Plus, Tall Bottoms - Numeric Sizes",28,,,,,47,58,,,
Ashley Stewart Size Charts,"Plus, Tall Bottoms - Numeric Sizes",30,,,,,49,60,,,
Ashley Stewart Size Charts,"Plus, Tall Bottoms - Numeric Sizes",32,,,,,51,62,,,
Ashley Stewart Size Charts,Plus Bottoms - X Sizes,,,,,,,,Petite,29½,
Ashley Stewart Size Charts,"Plus, Petite Bottoms - X Sizes",12,,,,,31½,41½,,,
Ashley Stewart Size Charts,"Plus, Petite Bottoms - X Sizes",14,,,,,33,44,,,
Ashley Stewart Size Charts,"Plus, Petite Bottoms - X Sizes",16,,,,,35,46,,,
Ashley Stewart Size Charts,"Plus, Petite Bottoms - X Sizes",18,,,,,37,48,,,
Ashley Stewart Size Charts,"Plus, Petite Bottoms - X Sizes",20,,,,,39,50,,,
Ashley Stewart Size Charts,"Plus, Petite Bottoms - X Sizes",22,,,,,41,52,,,
Ashley Stewart Size Charts,"Plus, Petite Bottoms - X Sizes",24,,,,,43,54,,,
Ashley Stewart Size Charts,"Plus, Petite Bottoms - X Sizes",26,,,,,47,58,,,
Ashley Stewart Size Charts,"Plus, Petite Bottoms - X Sizes",28,,,,,47,58,,,
Ashley Stewart Size Charts,"Plus, Petite Bottoms - X Sizes",30,,,,,49,60,,,
Ashley Stewart Size Charts,"Plus, Petite Bottoms - X Sizes",32,,,,,51,62,,,
Ashley Stewart Size Charts,"Plus, Tall Bottoms - X Sizes",,,,,,,,Tall,35½,
Ashley Stewart Size Charts,Plus Dresses - Numeric Sizes,1X,,,,,33 - 35,44 - 46,,,
Ashley Stewart Size Charts,Plus Dresses - Numeric Sizes,XL,,,,,31½,41½,,,
Ashley Stewart Size Charts,Plus Dresses - Numeric Sizes,2X,,,,,37 - 39,48 - 50,,,
Ashley Stewart Size Charts,Plus Dresses - Numeric Sizes,3X,,,,,41 - 43,52 - 54,,,
Ashley Stewart Size Charts,Plus Dresses - Numeric Sizes,4X,,,,,47,58,,,
Ashley Stewart Size Charts,Plus Dresses - Numeric Sizes,5X,,,,,49 - 51,60 - 62,,,
Ashley Stewart Size Charts,Plus Dresses - X Sizes,,,,,,,,Average,32½,
Ashley Stewart Size Charts,Plus Jackets & Outerwear,1X,,,,,33 - 35,44 - 46,,,
Ashley Stewart Size Charts,Plus Jackets & Outerwear,XL,,,,,31½,41½,,,
Ashley Stewart Size Charts,Plus Jackets & Outerwear,2X,,,,,37 - 39,48 - 50,,,
Ashley Stewart Size Charts,Plus Jackets & Outerwear,3X,,,,,41 - 43,52 - 54,,,
Ashley Stewart Size Charts,Plus Jackets & Outerwear,4X,,,,,47,58,,,
Ashley Stewart Size Charts,Plus Jackets & Outerwear,5X,,,,,49 - 51,60 - 62,,,
Ashley Stewart Size Charts,Category 12,,,,,,,,Petite,29½,
Ashley Stewart Size Charts,Category 13,1X,,,,,33 - 35,44 - 46,,,
Ashley Stewart Size Charts,Category 13,XL,,,,,31½,41½,,,
Ashley Stewart Size Charts,Category 13,2X,,,,,37 - 39,48 - 50,,,
Ashley Stewart Size Charts,Category 13,3X,,,,,41 - 43,52 - 54,,,
Ashley Stewart Size Charts,Category 13,4X,,,,,47,58,,,
Ashley Stewart Size Charts,Category 13,5X,,,,,49 - 51,60 - 62,,,
Ashley Stewart Size Charts,Category 14,,,,,,,,Tall,35½,
Ashley Stewart Size Charts,Category 15,12,,40,,,31½,41½,,,
Ashley Stewart Size Charts,Category 15,14,,41½,,,33,44,,,
Ashley Stewart Size Charts,Category 15,16,,43½,,,35,46,,,
Ashley Stewart Size Charts,Category 15,18,,45½,,,37,48,,,
Ashley Stewart Size Charts,Category 15,20,,47½,,,39,50,,,
Ashley Stewart Size Charts,Category 15,22,,49½,,,41,52,,,
Ashley Stewart Size Charts,Category 15,24,,51½,,,43,54,,,
Ashley Stewart Size Charts,Category 15,26,,53½,,,47,58,,,
Ashley Stewart Size Charts,Category 15,28,,55½,,,47,58,,,
Ashley Stewart Size Charts,Category 15,30,,57½,,,49,60,,,
Ashley Stewart Size Charts,Category 15,32,,57½,,,51,62,,,
Ashley Stewart Size Charts,Category 16,1X,,41½ - 43½,,,33 - 35,44 - 46,,,
Ashley Stewart Size Charts,Category 16,XL,,40,,,31½,41½,,,
Ashley Stewart Size Charts,Category 16,2X,,45½ - 47½,,,37 - 39,48 - 50,,,
Ashley Stewart Size Charts,Category 16,3X,,49½ - 51½,,,41 - 43,52 - 54,,,
Ashley Stewart Size Charts,Category 16,4X,,53½ - 55½,,,47,58,,,
Ashley Stewart Size Charts,Category 16,5X,,57½,,,49 - 51,60 - 62,,,
Ashley Stewart Size Charts,Category 17,12,,46¾,,,40,50,,,
Ashley Stewart Size Charts,Category 17,14 - 16,,49¾,,,43,53,,,
Ashley Stewart Size Charts,Category 17,18 - 20,,53¾,,,47,57,,,
Ashley Stewart Size Charts,Category 17,22 - 24,,57¾,,,51,61,,,
Ashley Stewart Size Charts,Category 17,26,,59¾,,,53,63,,,
Dockers Size Charts,Tops,S,30½,35½,,,,,,,
Dockers Size Charts,Tops,M,31,37½,,,,,,,
Dockers Size Charts,Tops,L,31½,40½,,,,,,,
Dockers Size Charts,Tops,XL,32¼,43½,,,,,,,
Dockers Size Charts,Pants,0,,,,,25,34½,,,
Dockers Size Charts,Pants,2,,,,,26¼,35¾,,,
Dockers Size Charts,Pants,4,,,,,27½,37,,,
Dockers Size Charts,Pants,6,,,,,28½,38,,,
Dockers Size Charts,Pants,8,,,,,29½,39,,,
Dockers Size Charts,Pants,10,,,,,30½,40,,,
Dockers Size Charts,Pants,12,,,,,32,41½,,,
Dockers Size Charts,Pants,14,,,,,33½,43,,,
Dockers Size Charts,Pants,16,,,,,35,44½,,,
Dockers Size Charts,Pants,18,,,,,37,46½,,,
Dockers Size Charts,Plus Pants,,,,,,,,Short,30,
Dockers Size Charts,Plus Pants,,,,,,,,Medium,32,
Dockers Size Charts,Plus Pants,,,,,,,,Long,34,
Dockers Size Charts,Pants - Curvy Fit,16,,,,,36,46,,,
Dockers Size Charts,Pants - Curvy Fit,18,,,,,38,48,,,
Dockers Size Charts,Pants - Curvy Fit,20,,,,,40,50,,,
Dockers Size Charts,Pants - Curvy Fit,22,,,,,42,52,,,
Dockers Size Charts,Pants - Curvy Fit,24,,,,,44,54,,,
Dockers Size Charts,Pants - Curvy Fit,26,,,,,46,56,,,
Dockers Size Charts,Pants - Curvy Fit,28,,,,,48,58,,,
Dockers Size Charts,Petite Pants,,,,,,,,Short,29,
Dockers Size Charts,Petite Pants,,,,,,,,Medium,31,
Dockers Size Charts,Petite Pants,,,,,,,,Long,33,
Dockers Size Charts,Petite Pants - Curvy Fit,0,,,,,24½,35,,,
Dockers Size Charts,Petite Pants - Curvy Fit,2,,,,,25¾,36¼,,,
Dockers Size Charts,Petite Pants - Curvy Fit,4,,,,,27,37½,,,
Dockers Size Charts,Petite Pants - Curvy Fit,6,,,,,28,38½,,,
Dockers Size Charts,Petite Pants - Curvy Fit,8,,,,,29,39½,,,
Dockers Size Charts,Petite Pants - Curvy Fit,10,,,,,30,40½,,,
Dockers Size Charts,Petite Pants - Curvy Fit,12,,,,,31½,42,,,
Dockers Size Charts,Petite Pants - Curvy Fit,14,,,,,33,43½,,,
Dockers Size Charts,Petite Pants - Curvy Fit,16,,,,,34½,45,,,
Dockers Size Charts,Petite Pants - Curvy Fit,18,,,,,36½,47,,,
Dockers Size Charts,Category 7,,,,,,,,Short,30,
Dockers Size Charts,Category 7,,,,,,,,Medium,32,
Dockers Size Charts,Category 7,,,,,,,,Long,34,
Dockers Size Charts,Category 8,0,,,,,24½,34,,,
Dockers Size Charts,Category 8,2,,,,,25¾,35¼,,,
Dockers Size Charts,Category 8,4,,,,,27,36½,,,
Dockers Size Charts,Category 8,6,,,,,28,37½,,,
Dockers Size Charts,Category 8,8,,,,,29,38½,,,
Dockers Size Charts,Category 8,10,,,,,30,39½,,,
Dockers Size Charts,Category 8,12,,,,,31½,41,,,
Dockers Size Charts,Category 8,14,,,,,33,42½,,,
Dockers Size Charts,Category 8,16,,,,,34½,44,,,
Dockers Size Charts,Category 8,18,,,,,36½,46,,,
Dockers Size Charts,Category 9,,,,,,,,Short,29,
Dockers Size Charts,Category 9,,,,,,,,Medium,29,
Dockers Size Charts,Category 9,,,,,,,,Long,31,
Dockers Size Charts,Category 10,0,,,,,24,34½,,,
Dockers Size Charts,Category 10,2,,,,,25¼,35¾,,,
Dockers Size Charts,Category 10,4,,,,,26½,37,,,
Dockers Size Charts,Category 10,6,,,,,27½,38,,,
Dockers Size Charts,Category 10,8,,,,,28½,39,,,
Dockers Size Charts,Category 10,10,,,,,29½,40,,,
Dockers Size Charts,Category 10,12,,,,,31,41½,,,
Dockers Size Charts,Category 10,14,,,,,32½,43,,,
Dockers Size Charts,Category 10,16,,,,,34,44½,,,
Dockers Size Charts,Category 10,18,,,,,36,46½,,,
Dockers Size Charts,Category 11,,,,,,,,Short,29,
Dockers Size Charts,Category 11,,,,,,,,Medium,29,
Dockers Size Charts,Category 11,,,,,,,,Long,31,
Nike Size Charts,"Shirts, T-Shirts and Sweatshirts - Numeric Sizes",0,,29½,,,23½,33,,,
Nike Size Charts,"Shirts, T-Shirts and Sweatshirts - Numeric Sizes",2,,32½,,,26,35½,,,
Nike Size Charts,"Shirts, T-Shirts and Sweatshirts - Numeric Sizes",4,,32½,,,26,35½,,,
Nike Size Charts,"Shirts, T-Shirts and Sweatshirts - Numeric Sizes",6,,35½,,,29,38½,,,
Nike Size Charts,"Shirts, T-Shirts and Sweatshirts - Numeric Sizes",8,,38,,,29,38½,,,
Nike Size Charts,"Shirts, T-Shirts and Sweatshirts - Numeric Sizes",10,,38,,,31½,41,,,
Nike Size Charts,"Shirts, T-Shirts and Sweatshirts - Numeric Sizes",12,,41,,,31½,41,,,
Nike Size Charts,"Shirts, T-Shirts and Sweatshirts - Numeric Sizes",14,,41,,,34½,44,,,
Nike Size Charts,"Shirts, T-Shirts and Sweatshirts - Numeric Sizes",16,,44½,,,34½,44,,,
Nike Size Charts,"Shirts, T-Shirts and Sweatshirts - Numeric Sizes",18,,44½,,,38½,47,,,
Nike Size Charts,"Shirts, T-Shirts and Sweatshirts - Numeric Sizes",20,,44½,,,38½,47,,,
Nike Size Charts,"Shirts, T-Shirts and Sweatshirts - Numeric Sizes",22,,48½,,,42½,50,,,
Nike Size Charts,"Shirts, T-Shirts and Sweatshirts - Alpha Sizes",XS,,29½ - 32½,,,23½ - 26,33 - 35½,,,
Nike Size Charts,"Shirts, T-Shirts and Sweatshirts - Alpha Sizes",S,,32½ - 35½,,,26 - 29,35½ - 38½,,,
Nike Size Charts,"Shirts, T-Shirts and Sweatshirts - Alpha Sizes",M,,38,,,29 - 31½,38½ - 41,,,
Nike Size Charts,"Shirts, T-Shirts and Sweatshirts - Alpha Sizes",L,,41,,,31½ - 34½,41 - 44,,,
Nike Size Charts,"Shirts, T-Shirts and Sweatshirts - Alpha Sizes",XL,,44½,,,34½ - 38½,44 - 47,,,
